,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4
0,0,1990593807,Lama glama guanicoe,-50.980343,-72.76443499999998,POINT (-72.76443499999999 -50.980343),1,,,,688.25
1,1,1990566091,Lama glama guanicoe,-53.182945,-69.28293599999999,POINT (-69.28293599999999 -53.182945),1,,,,578.58
2,2,1990556566,Lama glama guanicoe,-46.872203000000006,-70.224092,POINT (-70.224092 -46.87220300000001),1,,,,878.39
3,3,1990486258,Lama glama guanicoe,-51.005546,-72.842054,POINT (-72.842054 -51.005546),1,,,,685.78
4,4,1986626409,Lama glama guanicoe,-42.629804,-64.191275,POINT (-64.191275 -42.629804),1,,,,1031.4
5,5,1986625937,Lama glama guanicoe,-42.628104,-64.206254,POINT (-64.206254 -42.628104),1,,,,1031.4
6,6,1986625399,Lama glama guanicoe,-42.630414,-64.201937,POINT (-64.201937 -42.630414),1,,,,1031.4
7,7,1986624198,Lama glama guanicoe,-53.415312,-68.129085,POINT (-68.129085 -53.415312),1,,,,583.67
8,8,1986621637,Lama glama guanicoe,-52.142153,-69.519961,POINT (-69.519961 -52.142153),1,,,,672.62
9,9,1986621380,Lama glama guanicoe,-30.65371,-71.684147,POINT (-71.684147 -30.65371),1,,,,1082.58
10,10,1986621362,Lama glama guanicoe,-26.245364,-70.614434,POINT (-70.614434 -26.245364),1,,,,1240.45
11,11,1986620369,Lama glama guanicoe,-51.27,-72.37,POINT (-72.37 -51.27),1,,,,684.37
12,12,1986615782,Lama glama guanicoe,-47.859555,-66.390651,POINT (-66.39065100000001 -47.859555),1,,,,870.9
13,13,1986615744,Lama glama guanicoe,-47.768678,-66.194965,POINT (-66.194965 -47.768678),1,,,,871.38
14,14,1986615503,Lama glama guanicoe,-47.881436,-66.655434,POINT (-66.655434 -47.881436),1,,,,870.52
15,15,1986604678,Lama glama guanicoe,-32.754679,-69.056301,POINT (-69.056301 -32.754679),1,,,,1084.67
16,16,1986576951,Lama glama guanicoe,-47.1153,-72.484409,POINT (-72.484409 -47.1153),1,,,,683.18
17,17,1986574863,Lama glama guanicoe,-46.896389,-71.251667,POINT (-71.251667 -46.896389),1,,,,668.98
18,18,1978837059,Lama glama guanicoe,-50.992761,-72.80288399999998,POINT (-72.80288399999999 -50.992761),1,,,,688.25
19,19,1948744292,Lama glama guanicoe,-51.314305,-72.845159,POINT (-72.845159 -51.314305),1,,,,660.24
20,20,1946332099,Lama glama guanicoe,-50.938865,-72.733875,POINT (-72.733875 -50.938865),1,,,,691.71
21,21,1945445782,Lama glama guanicoe,-51.107129,-73.048587,POINT (-73.048587 -51.107129),1,,,,675.15
22,22,1935605309,Lama glama guanicoe,-26.066915,-65.846828,POINT (-65.846828 -26.066915),1,,,,1403.78
23,23,1935601785,Lama glama guanicoe,-50.974461,-72.722791,POINT (-72.722791 -50.974461),1,,,,691.71
24,24,1933592462,Lama glama guanicoe,-48.625107,-70.69670699999998,POINT (-70.69670699999999 -48.625107),1,,,,828.46
25,25,1932343222,Lama glama guanicoe,-42.660856,-63.835883,POINT (-63.835883 -42.660856),1,,,,987.88
26,26,1932342979,Lama glama guanicoe,-42.462633,-64.414416,POINT (-64.414416 -42.462633),1,,,,1065.01
27,27,1914210240,Lama glama guanicoe,-21.928159,-68.86945,POINT (-68.86945 -21.928159),1,,,,1157.2
28,28,1913665390,Lama glama guanicoe,-26.073535,-70.53299,POINT (-70.53299 -26.073535),1,,,,1269.5
29,29,1913183574,Lama glama guanicoe,-29.7,-67.5833,POINT (-67.58329999999999 -29.7),1,,,,1332.92
30,30,1898830125,Lama glama guanicoe,-51.269984,-72.363087,POINT (-72.36308699999999 -51.269984),1,,,,684.37
31,31,1898828770,Lama glama guanicoe,-50.942326,-73.406788,POINT (-73.40678800000001 -50.942326),1,,,,521.42
32,32,1890052292,Lama glama guanicoe,-53.801827,-67.672119,POINT (-67.672119 -53.801827),1,,,,595.92
33,33,1890049507,Lama glama guanicoe,-50.972751,-72.875834,POINT (-72.875834 -50.972751),1,,,,650.18
34,34,1883940087,Lama glama guanicoe,-49.93464,-72.04916999999998,POINT (-72.04916999999999 -49.93464),1,,,,735.91
35,35,1883908136,Lama glama guanicoe,-49.995823,-72.166786,POINT (-72.166786 -49.995823),1,,,,723.88
36,36,1880577801,Lama glama guanicoe,-30.149877000000004,-67.96485899999999,POINT (-67.96485899999999 -30.149877),1,,,,1518.01
37,37,1850973982,Lama glama guanicoe,-30.645572,-71.66879,POINT (-71.66879 -30.645572),1,,,,1082.58
38,38,1847588551,Lama glama guanicoe,-53.85901,-67.87903,POINT (-67.87903 -53.85901),1,,,,588.12
39,39,1847578108,Lama glama guanicoe,-29.291181,-71.327285,POINT (-71.327285 -29.291181),1,,,,1132.01
40,40,1838353175,Lama glama guanicoe,-28.302053000000004,-70.77638,POINT (-70.77638 -28.302053),1,,,,1301.49
41,41,1837778721,Lama glama guanicoe,-25.238539000000006,-65.87961899999999,POINT (-65.87961899999999 -25.238539),1,,,,1231.95
42,42,1837735899,Lama glama guanicoe,-49.99207,-72.163696,POINT (-72.163696 -49.99207),1,,,,742.9
43,43,1837100336,Lama glama guanicoe,-29.303197,-71.310197,POINT (-71.310197 -29.303197),1,,,,1132.01
44,44,1837080711,Lama glama guanicoe,-49.509495,-70.13689000000001,POINT (-70.13689000000001 -49.509495),1,,,,853.16
45,45,1837080688,Lama glama guanicoe,-49.923046,-72.084389,POINT (-72.084389 -49.923046),1,,,,742.9
46,46,1837080677,Lama glama guanicoe,-49.505816,-70.151653,POINT (-70.151653 -49.505816),1,,,,853.16
47,47,1837080617,Lama glama guanicoe,-49.80653,-72.072201,POINT (-72.07220100000001 -49.80653),1,,,,754.68
48,48,1837080605,Lama glama guanicoe,-49.99185,-72.16404,POINT (-72.16404 -49.99185),1,,,,742.9
49,49,1837080535,Lama glama guanicoe,-49.923046,-72.081127,POINT (-72.081127 -49.923046),1,,,,735.91
50,50,1836744157,Lama glama guanicoe,-51.067104,-73.001915,POINT (-73.001915 -51.067104),1,,,,648.01
51,51,1836666432,Lama glama guanicoe,-51.0034,-72.95960500000002,POINT (-72.95960500000001 -51.0034),1,,,,670.08
52,52,1836645730,Lama glama guanicoe,-32.532509999999995,-67.052307,POINT (-67.052307 -32.53250999999999),1,,,,1466.93
53,53,1836573905,Lama glama guanicoe,-29.319482,-71.230373,POINT (-71.230373 -29.319482),1,,,,1143.33
54,54,1831224749,Lama glama guanicoe,-32.751766,-69.057484,POINT (-69.057484 -32.751766),1,,,,1084.67
55,55,1831172716,Lama glama guanicoe,-28.187657,-71.152546,POINT (-71.152546 -28.187657),1,,,,1243.81
56,56,1831172472,Lama glama guanicoe,-29.328911,-71.23638199999998,POINT (-71.23638199999999 -29.328911),1,,,,1143.33
57,57,1831097657,Lama glama guanicoe,-34.193995,-69.694038,POINT (-69.69403800000001 -34.193995),1,,,,814.94
58,58,1831097495,Lama glama guanicoe,-34.245033,-69.479286,POINT (-69.479286 -34.245033),1,,,,914.73
59,59,1807909087,Lama glama guanicoe,-51.117317,-72.81189,POINT (-72.81189000000001 -51.117317),1,,,,632.32
60,60,1807883180,Lama glama guanicoe,-47.493633,-70.940849,POINT (-70.940849 -47.493633),1,,,,816.89
61,61,1807324525,Lama glama guanicoe,-47.15,-70.666666,POINT (-70.66666600000001 -47.15),1,,,,832.06
62,62,1807305586,Lama glama guanicoe,-52.313943,-69.617038,POINT (-69.61703799999999 -52.313943),1,,,,657.96
63,63,1806351235,Lama glama guanicoe,-29.835339,-69.931841,POINT (-69.93184100000001 -29.835339),1,,,,730.55
64,64,1806351213,Lama glama guanicoe,-29.867443,-70.04389300000001,POINT (-70.04389300000001 -29.867443),1,,,,867.32
65,65,1806351148,Lama glama guanicoe,-29.808215,-70.023122,POINT (-70.023122 -29.808215),1,,,,748.4
66,66,1805375362,Lama glama guanicoe,-52.196882,-69.48293100000001,POINT (-69.48293100000001 -52.196882),1,,,,667.02
67,67,1802764443,Lama glama guanicoe,-50.983505,-72.877808,POINT (-72.877808 -50.983505),1,,,,650.18
68,68,1802667161,Lama glama guanicoe,-29.802779,-70.043764,POINT (-70.043764 -29.802779),1,,,,748.4
69,69,1802666838,Lama glama guanicoe,-28.347899,-70.768433,POINT (-70.768433 -28.347899),1,,,,1298.12
70,70,1702484232,Lama glama guanicoe,-18.175826,-69.500029,POINT (-69.500029 -18.175826),1,,,,1230.2
71,71,1702481456,Lama glama guanicoe,-18.166405,-69.434517,POINT (-69.434517 -18.166405),1,,,,917.0
72,72,1677326550,Lama glama guanicoe,-50.990139,-72.79969399999997,POINT (-72.79969399999999 -50.990139),1,,,,688.25
73,73,1671721888,Lama glama guanicoe,-50.99864,-72.790355,POINT (-72.79035500000001 -50.99864),1,,,,688.25
74,74,1640056326,Lama glama guanicoe,-41.676576,-65.328484,POINT (-65.328484 -41.676576),1,,,,1164.52
75,75,1640056274,Lama glama guanicoe,-22.83225,-68.321228,POINT (-68.321228 -22.83225),1,,,,1352.21
76,76,1586954753,Lama glama guanicoe,-47.124562,-72.493532,POINT (-72.493532 -47.124562),1,,,,683.18
77,77,1586105517,Lama glama guanicoe,-51.012891,-72.825417,POINT (-72.825417 -51.012891),1,,,,690.7
78,78,1580505705,Lama glama guanicoe,-36.883237,-73.147712,POINT (-73.147712 -36.883237),1,,,,1063.67
79,79,1580485647,Lama glama guanicoe,-51.060208,-72.97584499999998,POINT (-72.97584499999999 -51.060208),1,,,,670.08
80,80,1580131250,Lama glama guanicoe,-42.484631,-64.341171,POINT (-64.341171 -42.484631),1,,,,1065.01
81,81,1580130693,Lama glama guanicoe,-42.468361,-64.664413,POINT (-64.664413 -42.468361),1,,,,1099.25
82,82,1562926137,Lama glama guanicoe,-25.234353,-65.94762800000001,POINT (-65.94762800000001 -25.234353),1,,,,1270.71
83,83,1562881483,Lama glama guanicoe,-50.872827,-73.295288,POINT (-73.295288 -50.872827),1,,,,565.97
84,84,1510971729,Lama glama guanicoe,-28.246337,-71.143302,POINT (-71.14330200000001 -28.246337),1,,,,1243.81
85,85,1510971567,Lama glama guanicoe,-27.944628,-70.51909,POINT (-70.51909000000001 -27.944628),1,,,,1257.87
86,86,1510971528,Lama glama guanicoe,-28.147892,-70.950274,POINT (-70.95027399999999 -28.147892),1,,,,1247.98
87,87,1510971208,Lama glama guanicoe,-47.109593,-73.436663,POINT (-73.436663 -47.109593),1,,,,521.5
88,88,1510970446,Lama glama guanicoe,-47.063861,-72.31681,POINT (-72.31681 -47.063861),1,,,,695.09
89,89,1510970428,Lama glama guanicoe,-47.056465,-72.19601899999998,POINT (-72.19601899999999 -47.056465),1,,,,689.42
90,90,1510970420,Lama glama guanicoe,-47.069372,-72.358091,POINT (-72.358091 -47.06937199999999),1,,,,692.81
91,91,1510970386,Lama glama guanicoe,-47.114191,-72.476988,POINT (-72.47698800000001 -47.114191),1,,,,683.18
92,92,1510970382,Lama glama guanicoe,-47.117274,-72.48947,POINT (-72.48947 -47.117274),1,,,,683.18
93,93,1510970345,Lama glama guanicoe,-47.115388,-72.48229599999998,POINT (-72.48229599999999 -47.115388),1,,,,683.18
94,94,1510970145,Lama glama guanicoe,-29.322901,-71.234174,POINT (-71.234174 -29.322901),1,,,,1143.33
95,95,1510969485,Lama glama guanicoe,-52.65211800000001,-71.462149,POINT (-71.462149 -52.65211800000001),1,,,,621.65
96,96,1510969440,Lama glama guanicoe,-50.875904,-72.734595,POINT (-72.734595 -50.875904),1,,,,668.82
97,97,1510969428,Lama glama guanicoe,-51.00772,-72.84594,POINT (-72.84594 -51.00772),1,,,,685.78
98,98,1510968015,Lama glama guanicoe,-18.267204,-69.597931,POINT (-69.597931 -18.267204),1,,,,1355.77
99,99,1510964176,Lama glama guanicoe,-27.838244,-70.524603,POINT (-70.524603 -27.838244),1,,,,1244.93
100,100,1510964129,Lama glama guanicoe,-28.153304,-71.00829300000002,POINT (-71.00829300000001 -28.153304),1,,,,1236.08
101,101,1510960872,Lama glama guanicoe,-34.534556,-70.42365,POINT (-70.42364999999999 -34.534556),1,,,,961.09
102,102,1510959977,Lama glama guanicoe,-34.535218,-70.426503,POINT (-70.426503 -34.535218),1,,,,961.09
103,103,1457602583,Lama glama guanicoe,-37.995622,-65.592155,POINT (-65.59215500000001 -37.995622),1,,,,1423.08
104,104,1457600590,Lama glama guanicoe,-42.631889,-64.20785500000001,POINT (-64.20785500000001 -42.631889),1,,,,1031.4
105,105,1457596347,Lama glama guanicoe,-42.528587,-63.879015,POINT (-63.879015 -42.528587),1,,,,991.17
106,106,1453548358,Lama glama guanicoe,-23.983743,-66.20636,POINT (-66.20636 -23.983743),1,,,,1283.6
107,107,1453307523,Lama glama guanicoe,-27.723973,-68.140247,POINT (-68.140247 -27.723973),1,,,,1070.8
108,108,1453228368,Lama glama guanicoe,-50.965563,-72.832661,POINT (-72.832661 -50.965563),1,,,,688.25
109,109,1453228277,Lama glama guanicoe,-51.087135,-73.12706,POINT (-73.12706 -51.087135),1,,,,649.05
110,110,1453208474,Lama glama guanicoe,-30.948278,-69.082994,POINT (-69.082994 -30.948278),1,,,,1113.64
111,111,1453208441,Lama glama guanicoe,-31.239795,-69.62513,POINT (-69.62513 -31.239795),1,,,,1113.06
112,112,1453207464,Lama glama guanicoe,-30.832819,-69.05787099999999,POINT (-69.05787099999999 -30.832819),1,,,,1163.8
113,113,1453207431,Lama glama guanicoe,-30.909707,-69.079278,POINT (-69.079278 -30.909707),1,,,,1146.94
114,114,1453207421,Lama glama guanicoe,-30.873823,-69.068779,POINT (-69.06877900000001 -30.873823),1,,,,1146.94
115,115,1453207398,Lama glama guanicoe,-29.000127000000006,-67.73380300000001,POINT (-67.73380300000001 -29.000127),1,,,,1060.34
116,116,1453207371,Lama glama guanicoe,-30.928019,-69.08158399999999,POINT (-69.08158399999999 -30.928019),1,,,,1113.64
117,117,1453207370,Lama glama guanicoe,-30.948157,-69.083489,POINT (-69.083489 -30.948157),1,,,,953.74
118,118,1453206235,Lama glama guanicoe,-27.221344,-68.108726,POINT (-68.108726 -27.221344),1,,,,981.2
119,119,1453053434,Lama glama guanicoe,-51.48565900000001,-72.72090899999998,POINT (-72.72090899999999 -51.48565900000001),1,,,,656.89
120,120,1338932128,Lama glama guanicoe,-51.137138,-72.979431,POINT (-72.97943100000001 -51.137138),1,,,,670.41
121,121,1323026628,Lama glama guanicoe,-42.549034000000006,-63.62731899999999,POINT (-63.62731899999999 -42.54903400000001),1,,,,967.25
122,122,1265898724,Lama glama guanicoe,-50.952495,-72.70945,POINT (-72.70945 -50.952495),1,,,,691.71
123,123,1265895307,Lama glama guanicoe,-50.915502,-72.846497,POINT (-72.846497 -50.915502),1,,,,668.11
124,124,1265540592,Lama glama guanicoe,-53.18693,-69.280433,POINT (-69.280433 -53.18693),1,,,,578.58
125,125,1265540518,Lama glama guanicoe,-51.188812,-72.47715,POINT (-72.47714999999999 -51.188812),1,,,,711.31
126,126,1265540393,Lama glama guanicoe,-50.971941,-72.717261,POINT (-72.71726099999999 -50.97194099999999),1,,,,691.71
127,127,1262373132,Lama glama guanicoe,-50.958887,-72.80301700000003,POINT (-72.80301700000001 -50.958887),1,,,,688.25
128,128,1227766680,Lama glama guanicoe,-50.930425,-72.747963,POINT (-72.747963 -50.930425),1,,,,691.71
129,129,1227725646,Lama glama guanicoe,-37.714245,-68.890457,POINT (-68.890457 -37.714245),1,,,,1214.19
130,130,1145683537,Lama glama guanicoe,-16.7167,-71.55718,POINT (-71.55718 -16.7167),1,,,,1474.35
131,131,1092896165,Lama glama guanicoe,-29.298975,-71.28779399999998,POINT (-71.28779399999999 -29.298975),1,,,,1132.01
132,132,1088920038,Lama glama guanicoe,-31.78833,-69.25884,POINT (-69.25884000000001 -31.78833),1,,,,1088.35
133,133,1088917626,Lama glama guanicoe,-36.356368,-69.217601,POINT (-69.217601 -36.356368),1,,,,971.52
134,134,1088917569,Lama glama guanicoe,-36.487247,-69.367783,POINT (-69.367783 -36.487247),1,,,,1105.15
135,135,1088916214,Lama glama guanicoe,-36.424187,-69.38179000000001,POINT (-69.38179000000001 -36.424187),1,,,,1105.15
136,136,1088911090,Lama glama guanicoe,-36.461641,-69.377139,POINT (-69.377139 -36.461641),1,,,,1105.15
137,137,1088910997,Lama glama guanicoe,-36.12817,-69.326649,POINT (-69.326649 -36.12817),1,,,,1251.16
138,138,1088910263,Lama glama guanicoe,-36.309246,-69.287467,POINT (-69.28746700000001 -36.309246),1,,,,1221.57
139,139,1088910250,Lama glama guanicoe,-36.149242,-69.335747,POINT (-69.335747 -36.149242),1,,,,1179.64
140,140,1065614630,Lama glama guanicoe,-36.308901,-69.321413,POINT (-69.32141300000001 -36.308901),1,,,,1221.57
141,141,1065614583,Lama glama guanicoe,-36.367531,-69.216013,POINT (-69.216013 -36.367531),1,,,,971.52
142,142,1065610123,Lama glama guanicoe,-32.510703,-69.01547,POINT (-69.01546999999999 -32.510703),1,,,,1144.57
143,143,1065605267,Lama glama guanicoe,-33.087739,-69.358025,POINT (-69.358025 -33.087739),1,,,,978.93
144,144,1065605074,Lama glama guanicoe,-32.188979,-69.44964399999999,POINT (-69.44964399999999 -32.188979),1,,,,1015.77
145,145,1065595480,Lama glama guanicoe,-34.191819,-69.70407800000001,POINT (-69.70407800000001 -34.191819),1,,,,814.94
146,146,1024180475,Lama glama guanicoe,-49.687069,-71.888716,POINT (-71.888716 -49.687069),1,,,,759.14
147,147,922185271,Lama glama guanicoe,-46.763382,-70.80963100000002,POINT (-70.80963100000001 -46.763382),1,,,,845.88
148,148,922175775,Lama glama guanicoe,-42.451836,-63.616333,POINT (-63.616333 -42.451836),1,,,,981.64
149,149,922145488,Lama glama guanicoe,-50.006882,-72.118271,POINT (-72.11827099999999 -50.006882),1,,,,740.97
150,150,899971289,Lama glama guanicoe,-44.00913,-65.3143,POINT (-65.3143 -44.00913),1,,,,1040.35
151,151,899966700,Lama glama guanicoe,-33.078168,-69.353491,POINT (-69.35349100000001 -33.078168),1,,,,819.57
152,152,899944346,Lama glama guanicoe,-18.21272,-69.237213,POINT (-69.237213 -18.21272),1,,,,974.38
153,153,899941339,Lama glama guanicoe,-51.203442,-72.460327,POINT (-72.46032700000001 -51.203442),1,,,,711.31
154,154,899937960,Lama glama guanicoe,-54.3013,-67.28576600000001,POINT (-67.28576600000001 -54.3013),1,,,,574.17
155,155,894781596,Lama glama guanicoe,-34.167516,-69.69026,POINT (-69.69025999999999 -34.167516),1,,,,814.94
156,156,891084293,Lama glama guanicoe,-36.310578,-69.285488,POINT (-69.285488 -36.310578),1,,,,1221.57
157,157,891072453,Lama glama guanicoe,-52.13254000000001,-69.681473,POINT (-69.681473 -52.13254000000001),1,,,,670.65
158,158,891027748,Lama glama guanicoe,-50.985233,-73.005524,POINT (-73.00552399999999 -50.985233),1,,,,539.15
159,159,891026422,Lama glama guanicoe,-51.433464,-72.009888,POINT (-72.009888 -51.433464),1,,,,620.21
160,160,699207390,Lama glama guanicoe,-54.83084,-68.56394,POINT (-68.56394 -54.83084),1,,,,503.83
161,161,699207389,Lama glama guanicoe,-54.80803,-68.59713,POINT (-68.59713000000001 -54.80803),1,,,,517.08
162,162,699207387,Lama glama guanicoe,-54.83031,-68.56331,POINT (-68.56331 -54.83031),1,,,,503.83
163,163,699207386,Lama glama guanicoe,-54.52426,-68.19351,POINT (-68.19351 -54.52426),1,,,,534.09
164,164,699207385,Lama glama guanicoe,-54.58638000000001,-68.54593,POINT (-68.54593 -54.58638000000001),1,,,,511.51
165,165,699207384,Lama glama guanicoe,-54.81295,-68.57661,POINT (-68.57661 -54.81295),1,,,,503.83
166,166,699207382,Lama glama guanicoe,-54.83226,-68.56781,POINT (-68.56780999999999 -54.83226),1,,,,503.83
167,167,699207380,Lama glama guanicoe,-47.75577,-72.11719000000002,POINT (-72.11719000000001 -47.75577),1,,,,681.53
168,168,699207379,Lama glama guanicoe,-47.7557,-72.11844,POINT (-72.11844000000001 -47.7557),1,,,,681.53
169,169,699207378,Lama glama guanicoe,-47.90105,-72.03865,POINT (-72.03865 -47.90105),1,,,,690.98
170,170,699207377,Lama glama guanicoe,-47.76594,-72.10512,POINT (-72.10512 -47.76594),1,,,,681.53
171,171,699207376,Lama glama guanicoe,-47.76512,-72.10574,POINT (-72.10574 -47.76512),1,,,,681.53
172,172,699207374,Lama glama guanicoe,-47.7648,-72.10932,POINT (-72.10932 -47.7648),1,,,,681.53
173,173,699207373,Lama glama guanicoe,-47.74421,-72.13032,POINT (-72.13032 -47.74421),1,,,,638.66
174,174,699207372,Lama glama guanicoe,-47.74882,-72.09510999999998,POINT (-72.09510999999999 -47.74882),1,,,,638.66
175,175,699207371,Lama glama guanicoe,-47.90369000000001,-71.97247,POINT (-71.97247 -47.90369),1,,,,693.23
176,176,699207370,Lama glama guanicoe,-47.81406,-72.05552,POINT (-72.05552 -47.81406),1,,,,669.75
177,177,699207369,Lama glama guanicoe,-40.84452,-71.09782,POINT (-71.09782 -40.84452),1,,,,927.94
178,178,699207368,Lama glama guanicoe,-40.84341,-71.09707,POINT (-71.09707 -40.84341),1,,,,927.94
179,179,699207367,Lama glama guanicoe,-40.843,-71.09889,POINT (-71.09889 -40.843),1,,,,927.94
180,180,699207366,Lama glama guanicoe,-40.99076,-71.10686,POINT (-71.10686 -40.99075999999999),1,,,,937.47
181,181,699207365,Lama glama guanicoe,-40.99779,-71.12465999999998,POINT (-71.12465999999999 -40.99779),1,,,,937.47
182,182,699207364,Lama glama guanicoe,-40.94955,-71.04566,POINT (-71.04566 -40.94955),1,,,,974.01
183,183,699207363,Lama glama guanicoe,-40.83692,-71.27571999999998,POINT (-71.27571999999999 -40.83692),1,,,,859.93
184,184,699207353,Lama glama guanicoe,-50.54586,-72.80669,POINT (-72.80669 -50.54586),1,,,,660.95
185,185,699207337,Lama glama guanicoe,-50.52487,-72.77599000000002,POINT (-72.77599000000001 -50.52487),1,,,,660.95
186,186,699207336,Lama glama guanicoe,-50.52714,-72.76526,POINT (-72.76526 -50.52714),1,,,,660.95
187,187,699207335,Lama glama guanicoe,-50.56287,-72.83589,POINT (-72.83589000000001 -50.56287),1,,,,687.99
188,188,699207334,Lama glama guanicoe,-50.49716,-72.7229,POINT (-72.7229 -50.49716),1,,,,707.56
189,189,699207333,Lama glama guanicoe,-50.50022,-72.72886,POINT (-72.72886 -50.50022),1,,,,654.76
190,190,699207332,Lama glama guanicoe,-49.35438,-72.84745,POINT (-72.84744999999999 -49.35438),1,,,,688.65
191,191,699207331,Lama glama guanicoe,-49.66827,-72.87982,POINT (-72.87982 -49.66827),1,,,,634.18
192,192,699207330,Lama glama guanicoe,-49.66815,-72.88145,POINT (-72.88145 -49.66815),1,,,,634.18
193,193,699207329,Lama glama guanicoe,-49.66866,-72.88282,POINT (-72.88282 -49.66866),1,,,,634.18
194,194,699207327,Lama glama guanicoe,-49.66186,-72.87946,POINT (-72.87945999999999 -49.66186),1,,,,711.22
195,195,699207326,Lama glama guanicoe,-49.678,-72.88109,POINT (-72.88109 -49.678),1,,,,634.18
196,196,699207325,Lama glama guanicoe,-49.6784,-72.88224,POINT (-72.88224 -49.6784),1,,,,634.18
197,197,699207324,Lama glama guanicoe,-49.67154,-72.88253,POINT (-72.88253 -49.67154),1,,,,634.18
198,198,699207323,Lama glama guanicoe,-49.68521,-72.88185,POINT (-72.88185 -49.68521),1,,,,634.18
199,199,699207322,Lama glama guanicoe,-49.66008,-72.86175,POINT (-72.86175 -49.66008),1,,,,711.22
200,200,699207321,Lama glama guanicoe,-49.6931,-72.87754,POINT (-72.87754 -49.6931),1,,,,634.18
201,201,699207319,Lama glama guanicoe,-49.66778,-72.88131,POINT (-72.88131 -49.66778),1,,,,634.18
